Annee;Nom du partenaire;N SIRET;Adresse;Code postal;Ville;Intitule de la demande;Appel a projets;Appel a projets Politique Ville;Montant demande;Montant vote par demande;Total vote en 2013;Fonctionnement;Subventions sur projet;Subventions d'equipement;Subventions sans nature specifiee;S-PR-Numero SIMPA;Financee/Non Financee
2013;OFFICE DU MOUVEMENT SPORTIF DU 14EME ARRONDISSEMENT;79022485100010;26 RUE MOUTON DUVERNET;75014;PARIS;Subvention de fonctionnement 2012/2013;N;N;16000;16000;16000;16000;;;;19979;Financee
2013;PANDRATA CIRCLE;49206327600017;8 RUE DU GeNeRAL RENAULT;75011;PARIS;Financement du festival "Festiv'India";N;N;10000;;;;;;;11465;Non financee
2013;Paris Aide aux Victimes;34958524000030;12 RUE CHARLES FOURIER;75013;PARIS;Participation de la ville de Paris a la mission de Paris Aide aux Victimes;N;N;90000;80000;80000;80000;;;;21601;Financee
2013;PARIS BASKET 18EME;44796594800022;15 PASSAGE RAMEY;75018;PARIS;VVV - Le basket: une passion, une formation;O;O;2500;1000;1000;1000;;;;17410;Financee
2013;PARIS BASKET 18EME;44796594800022;15 PASSAGE RAMEY;75018;PARIS;VVV - Sejour d'integration au college;O;O;3000;2500;2500;2500;;;;17410;Financee
2013;paris concert;37766690400042;23 AVENUE LUGO;94600;CHOIY-LE-ROI;Atelier DECLIC Paris;O;N;2900;;;;;;;153742;Non financee
2013;PARIS INITIATIVE ENTREPRISE;34802705300043;68 BOULEVARD MALESHERBES;75008;PARIS;Creation d'un "fonds de confiance" pour la multiplication des structures de l'ESS a Paris;N;N;75000;;;;;;;46682;Non financee
2013;PARIS INITIATIVE ENTREPRISE;34802705300043;68 BOULEVARD MALESHERBES;75008;PARIS;Subvention de fonctionnement 2013;N;N;350000;300000;300000;300000;;;;46682;Financee
2013;PARIS MACADAM-LES ARCAVALS;41367389600035;22 RUE DE LA GOUTTE D'OR;75018;PARIS;Subvention de fonctionnement au titre de la jeunesse DAC/DJS "loisirs citoyen autour de l'art et de;N;N;22000;22000;22000;22000;;;;13225;Financee
2013;PARIS PANTIN FOOTBALL CLUB;53515265600018;15 RUE MONTE CRISTO;75020;PARIS;Aide pour le tournoi international annuel du club + aide au club.;N;N;1000;500;500;500;;;;17504;Financee
2013;SOLIDIMEY;49231340800014;17 RUE BERNARD DIMEY;75018;PARIS;sensibilisation au respect et a la preservation de l'environnement;O;O;10700;;;;;;;20213;Non financee
2013;Accueil et Reclassement Feminin - Oeuvre des Gares - Lafayette;77568111700088;83 RUE DE SeVRES;75006;PARIS;Developpement des competences cles des jeunes pour reussir leur insertion socioprofessionnelle.;N;N;41287;41287;41287;2787;38500;;;11385;Financee
2013;ACCUEIL LAGHOUAT;42439841000037;2 RUE RICHOMME;75018;PARIS;INVESTISSEMENT DPVI / REAMENAGEMENT INTERIEUR ET MISE AUX NORMES DE SECURITE LOCAL ASSOCIATIF;N;N;7035;5500;5500;;;5500;;7626;Financee
2013;ACT UP PARIS;39489556900033;8 RUE DES DUNES;75019;PARIS;Label Paris Europe 2013 - Transparence et acces aux medicaments;O;N;15000;;;;;;;19722;Non financee
2013;ACT UP PARIS;39489556900033;8 RUE DES DUNES;75019;PARIS;Soutien aux actions et a l'activite d'Act Up-Paris - Demande de Subvention 213;N;N;70000;30000;30000;30000;;;;19722;Financee
2013;Adequations;45110641300037;206 QUAI VALMY;75010;PARIS;Guide pedagogique pour la mise en ?uvre de la CIDE a partir de l'approche de genre;N;N;3500;3500;3500;;3500;;;18904;Financee
2013;Agence de Developpement des Relations interculturelles pour la Citoyennete;45190253000026;7 RUE DU JURA;75013;PARIS;Accompagnement des professionnels de la prevention / mieux agir contre le sexisme;N;N;4000;3000;3000;;3000;;;19513;Financee
2013;Agence de Developpement des Relations interculturelles pour la Citoyennete;45190253000026;7 RUE DU JURA;75013;PARIS;Jeunes pour l'egalite / Observatoire egalite femmes-hommes;N;N;5000;4000;4000;;4000;;;19513;Financee
2013;aire interculturelle de recherche action parents enfants;38383771300023;4 RUE DU DESSOUS DES BERGES;75013;PARIS;FINANCEMENT CRECHE MULTIACCUEIL;O;N;121730;122838;122838;122838;;;;13127;Financee
2013;A l'Ecoute de la Nature;42294494200016;9 RUE DE REDERRIES;60220;BLARGIES;Appel a projets d'ateliers innovants pluridisciplinaires periscolaires;O;N;14400;7650;7650;;7650;;;95641;Financee
2013;Alliance israelite universelle;78441123300017;45 RUE LA BRUYeRE;75009;PARIS;Soutien a l'action de la Bibliotheque et des archives de l'Alliance israelite universelle;N;N;100000;20000;20000;20000;;;;49521;Financee
2013;Alliance israelite universelle;78441123300017;45 RUE LA BRUYeRE;75009;PARIS;Soutien a l'action de la Mediatheque Alliance Baron Edmond de Rothschild;N;N;50000;0;0;;;;0;49521;Financee
2013;AQUA B DEVELOPPEMENT 75;51765264000023;38 BOULEVARD HENRI IV;75004;PARIS;ATELIERS eCRITURE :Poesies, poesie et rythme , poesie et graphisme;O;N;5000;;;;;;;16092;Non financee
2013;ARBP ASSOCIATION RUNGIS BRILLAT PEUPLIERS;43432291300022;11 RUE DE LA FONTAINE a MULARD;75013;PARIS;Elan culturel et educatif pour les enfants du quartier;O;O;3000;1000;1000;;1000;;;6381;Financee
2013;archipelia;43300654100026;17 RUE DES ENVIERGES;75020;PARIS;VVV Si t'es Jardin 2013;O;O;5000;;;;;;;18047;Non financee
2013;ART AZO?;53216066000017;10 PASSAGE DE LA FONDERIE;75011;PARIS;Financement pour la realisation d'une fresque sur la tranche d'un immeuble du quartier Saint Blaise;O;O;11000;10000;10000;;10000;;;64902;Financee
2013;ART EVEIL;37954273100037;43 RUE DES CASCADES;75020;PARIS;Projet dans le cadre de la reforme des rythmes scolaire;N;O;14500;;;;;;;19100;Non financee
2013;Art-Exprim 18;43797111200044;89 RUE MARCADET;75018;PARIS;VVV "demolir" Belliard;O;N;6000;;;;;;;9971;Non financee
2013;ARTISTIC;48326367900035;183 RUE SAINT-DENIS;75002;PARIS;ARE - Chorale intergenerationnelle (x3);O;N;8340;12320;12320;;12320;;;8024;Financee
2013;ASC 3 BELZUNCE;53256215400015;3 RUE DE BELZUNCE;75010;PARIS;-ARE- Expressions manuelles: atelier de mosa?que;O;N;4480;2240;2240;;;;2240;152921;Financee
2013;LIGUE DES DROITS DE L'HOMME.;78457872600043;138 RUE MARCADET;75018;PARIS;Operation collegiens - Intervention sur les discriminations;O;N;1100;1100;1100;;1100;;;44205;Financee
2013;L'Itineraire;30589740700055;22 RUE GEOFFROY L'ASNIER;75004;PARIS;L'Itineraire : saison 2013;N;N;12000;4000;4000;4000;;;;20576;Financee
2013;L'oeil en cascade;33992238700032;7 RUE DE LA CONVENTION;93100;MONRTEUIL;ARE - Ateliers Histoires illustrees;O;N;5000;;;;;;;152381;Non financee
2013;MACAO ECRITURE(S);50837250500026;11 RUE CAILLAUX;75013;PARIS;INVESTISSEMENT DPVI/ OUVERTURE ESPACE DE VIE SOCIALE AMIRAL MOUCHEZ 75013;N;N;8000;8000;8000;;;8000;;20062;Financee
2013;ma goutte d'or;78883637700010;2 ALLEE D' ANDReZIEUX;75018;PARIS;Raconte moi TON histoire Une parole en or 10 ans a la goutte d'Or;O;O;7370;3000;3000;3000;;;;121202;Financee
2013;MAISON DES COPAINS DE LA VILLETTE;78477977900031;156 RUE D' AUBERVILLIERS;75019;PARIS;lutte contre les rodeos;N;N;2520;;;;;;;14869;Non financee
2013;Maison Des Femmes de Paris;32392389600027;163 RUE DE CHARENTON;75012;PARIS;ACTION FEMMES EN SITUATION DE HANDICAP : pour un accueil une participation active contre violences;N;N;22000;7000;7000;7000;;;;721;Financee
2013;MAISON D'EUROPE ET D'ORIENT;38481837300068;3 PASSAGE HENNEL;75012;PARIS;Demande de subvention d'aide au projet - L'Europe des Theatres 2013;N;N;10000;14000;14000;;;;14000;18557;Financee
2013;MAP - le Reseau des Musiques Actuelles de Paris;50126703300022;8 RUE BOYER;75020;PARIS;Demande de subvention au titre de la Jeunesse : JIRAFE des Musiques Actuelles - 3eme edition;N;N;6000;4000;4000;;4000;;;40262;Financee
2013;MaRessourcerie;52189358600037;126 AVENUE D' ITALIE;75013;PARIS;Augmentation de la collecte de produits en vue de reemploi;N;N;16000;7000;7000;7000;;;;8025;Financee
