Geo point;ARRONDISSEMENT;GENRE;ESPECE;FAMILLE;ANNEE PLANTATION;HAUTEUR;CIRCONFERENCE;ADRESSE;NOM COMMUN;VARIETE;OBJECTID;NOM_EV
48.8633555664, 2.26174532022;16;Pterocarya;fraxinifolia;Juglandaceae;1882;27;400;;Perocarya du Caucase;;65;Bois de Boulogne (Berge du lac inferieur)
48.8646024472, 2.25171449183;16;Sequoiadendron;giganteum;Taxodiaceae;1872;;655;Route de la Grande Cascade, carrefour de la Croix Catelan;Sequoia geant;;67;Bois de Boulogne (Pre Catelan)
48.865022534, 2.2538285063;16;Pinus;nigra;Pinaceae;;30;250;Route de la Grande Cascade, carrefour de la Croix Catelan;Pin noir;;69;Bois de Boulogne (Pre Catelan)
48.8704017043, 2.24852577475;16;Platanus;orientalis;Platanaceae;1843;26;340;Allee de Longchamp, route de Sevres a Neuilly;Platane d'Orient;;73;Bois de Boulogne (Bagatelle)
48.8347628794, 2.42029690936;12;Zelkova;serrata;Ulmaceae;1872;18;240;;Zelkova du Japon;;83;Bois de Vincennes (Ecole chiens guide d'aveugle)
48.8333849101, 2.41261756721;12;Juglans;nigra;Juglandaceae;1845;28;570;route de la ceinture du Lac Daumesnil;Noyer noir;;85;Bois de Vincennes (Lac Daumesnil/porte Doree)
48.8324049718, 2.41169855654;12;Taxodium;distichum;Taxodiaceae;1930;20;270;Ile de Bercy;Cypres chauve;;87;Bois de Vincennes (?le de Bercy)
48.8213214388, 2.45537251962;12;Pinus;bungeana;Pinaceae;;10;50;Route de la Ferme, route de la Pyramide;Pin Napoleon;;95;Arboretum Ecole du Breuil
48.8204495642, 2.44579219199;12;Pinus;nigra;Pinaceae;1870;25;248;route de la Tourelle, route du Point de Vue;Pin noir;Austriaca;97;Bois de Vincennes (lac de gravelle)
48.8520958913, 2.34740754195;5;Robinia;pseudoacacia;Fabaceae;1601;11;385;Quai de Montebello, rue Lagrange, rue Saint-Julien-le-Pauvre;Robinier faux-acacia;;4;Square Viviani
48.8578717375, 2.29706549763;7;Eucommia;ulmoides;Eucomiaceae;;12;190;Quai Branly, avenue de La Motte-Piquet, avenue de la Bourdonnais, avenue de Suffren;Arbre a gutta-percha;;7;Parc du Champs de Mars
48.8792159582, 2.30640768208;8;Ginkgo;biloba;Ginkgoaceae;1879;22;283;Boulevard de Courcelles, avenue V,lasquez, avenue Van-Dyck, avenue Ruysdael;Arbre aux quarante ecus;;10;Parc Monceau
48.8669690843, 2.31951408752;8;Sequoiadendron;giganteum;Taxodiaceae;1850;20;320;Cours-la-Reine, avenue Franklin-D.-Roosevelt, avenue Matignon, avenue Gabriel;Sequoia geant;;12;Jardin des Champs Elysees
48.8353848188, 2.38157245444;12;Platanus;x acerifolia;Platanaceae;;35;510;Rue Paul-Belmondo, rue Joseph-Kessel, rue de l'Ambroise, rue Fran?ois-Truffaut;Platane commun;;17;Parc de Bercy
48.8330496955, 2.35078878768;13;Aesculus;hippocastanum;Sapindaceae;1894;18;355;Rue Croulebarbe, rue Corvisart, rue Emile-Deslandres, rue des Cordelieres;Marronnier d'Inde;;23;Square Rene Le Gall
48.8224956954, 2.3366608746;14;Fagus;sylvatica;Fagaceae;;30;370;Bd Jourdan, avenue Reille, rue Gazan, rue de la Cite,-Universitaire, rue Nansouty;Hetre pourpre;Purpurea;25;Parc Montsouris
48.8220238534, 2.33628540112;14;Sequoia;sempervirens;Taxodiaceae;1935;30;335;Bd Jourdan, avenue Reille, rue Gazan, rue de la Cite,-Universitaire, rue Nansouty;Sequoia sempervirent;;27;Parc Montsouris
48.8814628758, 2.38367383179;19;Styphnolobium;japonicum;Fabaceae;1873;10;335;Rue Manin, rue Botzaris;Sophora du Japon;;44;Parc des Buttes Chaumont
48.8803986732, 2.38129958306;19;Platanus;orientalis;Platanaceae;1862;34;670;Rue Manin, rue Botzaris;Platane d'Orient;;45;Parc des Buttes Chaumont
48.8619346483, 2.39870061217;20;Acer;monspessulanum;Sapindac,es;1833;12;225;Rue du repos, rue des Rondeaux;Erable de Montpellier;;48;Cimetiere du Pere Lachaise
48.879759998, 2.38064802989;19;Sequoiadendron;giganteum;Taxodiaceae;;35;470;Rue Manin, rue Botzaris;Sequoia geant;;57;Parc des Buttes Chaumont
48.8640166469, 2.26774597209;16;Fagus;sylvatica;Fagaceae;;18;300;;Hetre pourpre;Purpurea;60;Stade Muette
48.8647824278, 2.25120424857;16;Diospyros;kaki;Ebenaceae;1897;14;145;Route de la Grande Cascade, carrefour de la Croix Catelan;Kaki;;68;Bois de Boulogne (Pre Catelan)
48.8693939056, 2.24776773334;16;Sequoiadendron;giganteum;Taxodiaceae;1850;30;490;Allee de Longchamp, route de Sevres a Neuilly;Sequoia geant;;72;Bois de Boulogne (Bagatelle)
48.867043584, 2.25320074406;16;Platanus;x acerifolia;Platanaceae;1872;40;520;Route du Lac a Bagatelle;Platane commun;;74;Bois de Boulogne (Route du Lac a Bagatelle)
48.8630909172, 2.24159242682;16;Pinus;nigra laricio;Pinaceae;1882;30;240;All,e de Longchamp, carrefour des cascades;Pin de Corse;;76;Bois de Boulogne (reservoir de la cascade)
